중국어(간체)	한어병음	뜻
有	yǒu	있다.
只	zhǐ	"오직, 단지"
个	ge(원래 gè)	"개, 명(양사)"
今年	jīnnián	올해
多	duō	얼마나
大	dà	(나이가) 많다
岁	suì	"살, 세"
两	liǎng	"둘, 2"
杯	bēi	"잔, 컵(양사)"
可乐	kělè	콜라
爷爷	yéye	할아버지
奶奶	nǎinai	할머니
姥爷	lǎoye	외할아버지
姥姥	lǎolao	외할머니
爸爸	bàba	아빠
妈妈	māma	엄마
哥哥	gēge	형
姐姐	jiějie	누나
弟弟	dìdi	남동생
妹妹	mèimei	여동생
加	jiā	더하다
好友	hǎoyǒu	친구
吧	ba	"~하자(제안), ~이지(추측)"
啊	a	[어기조사] (감탄)
看	kàn	보다
这	zhè	"이(것), 이 사람"
上	shàng	~에 다니다
几	jǐ	몇
年级	niánjí	학년
高中	gāozhōng	고등학교
手机	shǒujī	핸드폰
那	nà	"그(것), 저(것)"
的	de	"~의, ~의 것, [어기조사]"
小学	xiàoxué	초등학교
初中	chūzhōng	중학교
大学	dàxué	대학교
中学	zhōngxué	중-고등학교
谁	shéi	누구
朋友	péngyou	친구
年纪	niánjì	연세
扫	sǎo	스캔하다
二维码	èrwéimǎ	QR코드
收藏	shōucáng	저장
评论	pínglùn	댓글
关注	guānzhù	팔로우
点赞	Diǎn zàn	좋아요를 누르다
分享	fēnxiǎng	공유
班	Bān	반(0학년 0반)
