중국어(간체)	한어병음	뜻
今年	jīntiān	오늘
号	hào	일
星期	xīngqī	요일
月	yuè	워
生日	shēngrì	생일
一起	yìqǐ	함께
玩儿	wánr	놀다
星期一	xīngqīyī	월요일
星期二	xīngqī’èr	화요일
星期三	xīngqīsān	수요일
星期四	xīngqīsì	목요일
星期五	xīngqīwǔ	금요일
星期六	xīngqīliù	토요일
星期日	xīngqīrì	일요일
星期天	xīngqītiān	일요일
前天	qiántiān	그저께
昨天	zuótiān	어제
后天	hòutiān	모레
回	huí	되돌아가다
去	qù	가다
学校	xuéxiào	학교
网	wǎng	인터넷
课	kè	수업
点	Diǎn	시
开始	kāishǐ	시작하다
现在	xiànzài	"현재, 지금"
半	bàn	"반, 30분"
快	kuài	빨리
睡觉	shuìjiào	잠자다
分	fēn	분
刻	kè	15분(양사)
差	chà	부족하다
打开	dǎkāi	펴다
书	shū	책
进来	jìnlái	들어오다
起床	qǐchuáng	일어나다
上课	shàngkè	수업을 시작하다
吃	chī	먹다
饭	fàn	밥
家	jiā	집
快乐	kuàilè	즐겁다
祝	zhù	"기원하다, 축하하다"
哇	wā	와[감탄사]
蛋糕	dàngāo	케이크
周末	zhōumò	주말
毕业	bìyè	졸업(하다)
中秋节	Zhōngqiū Jié	"추석, 중추절"
