중국어(간체)	한어병음	뜻
喜欢	xǐhuan	좋아하다
做	zuò	"하다, 만들다"
跳舞	tiàowǔ	춤을 추다
拍	pāi	찍다
视频	shìpín	동영상
厉害	lìhai	대단하다
想	xiǎng	"하고싶다, 생각하다"
学	xué	배우다
教	jiāo	가르치다
这个	zhège	이(것)
说	shuō	말하다
暑假	shǔjià	여름방학
计划	jìhuà	계획
将来	jiānlái	장례
当	dāng	~이 되다
作家	zuòjiā	작가
还	hái	"아직, 여전히"
着急	zháojí	"조급해하다, 초조해하다"
慢	màn	느리다
汉语	Hànyǔ	중국어
写	xiě	쓰다
再	zài	"다시, 더"
等	děng	기다리다
一下	yíxià	한번 ~하다
轻	qīng	가볍다
拉	lā	당기다
门	mén	문
冷	lěng	춥다
冬天	dōngtiān	겨울
打	dǎ	"(손으로) 치다, 하다"
篮球	lánqiú	농구
踢	tī	(발로) 차다
足球	zúqiú	축구
游戏	yóuxì	게임
医生	yīshēng	의사
咖啡	kāfēi	커피
店	diàn	가게
翻译	fānyì	"통역하다, 번역하다"
工作	gōngzuò	일
电影	diànyǐng	영화
乒乓球	pīngpāngqiú	탁구
比赛	bǐsài	"경기, 시합"
怎么样	zěnmeyàng	어떠하다
特别	tèbié	특별히
精彩	jīngcǎi	훌륭하다
棒球	bàngqiú	야구
网球	wǎngqiú	테니스
羽毛球	yǔmáoqiú	배드민턴
保龄球	bǎolíngqiú	볼링
游泳	yóuyǒng	수영
滑雪	huáxuě	스키
跑步	pǎobù	달리기
高尔夫球	gāo’èrfūqiú	골프
